"Plot_Number","Rice_Cultivar","Experiment_Name","Nitrogen_Rate","Replicate","Yield","Heading_100","Thermal","NDWI","EVI","NAVI","GNDVI","Cigreen","RENDVI","TGI","SAVI","CI_RedEdge","BI","SCI","GLI","NGRDI","SI","VARI","HUE","BGI","PSRI","RVI","TVI","CVI","NDVI","DVI","NRCT","Vegetation_Fraction","contrast_90","dissimilarity_90","homogeneity_90","ASM_90","energy_90","correlation_90"
"35825","EMBRAPA 1200","Mini_Core",130,"2",8.027032471,89,35.6078224,-0.359986,0.1903909,0.3943312,0.359986,1.1288935,0.1264211,2.2562423,0.1035992,0.2903801,0.1738453,0.1246065,0.0254943,-0.1246065,0.3521585,-0.1704639,0.0009379,0.6156633,0.1730431,1.658463,6.7253013,2.7363787,0.2463657,0.0825289,0.412400568,0.028985507,19.625,3.47826087,0.245045409,0.003116139,0.055822387,0.955170168
"33806","Sierra","Tiara",150,"3",7.768928533,86,28.6153908,-0.8126887,0.8226708,0.9711667,0.8126887,9.0565767,0.5903388,3.6071382,0.3614957,2.928869,0.0329344,-0.5680557,0.5596026,0.5680557,-0.0245686,0.7348227,-0.0001462,0.2893458,-0.2875559,36.9329796,30.7306099,2.7656972,0.9440723,0.3705928,0.183361769,1,32.06944444,4.108333333,0.246508192,0.004479167,0.066926577,0.864833958
"35182","Carolina Gold","Santee_Gold",150,"2",5.271055978,88,33.8849373,-0.7349529,0.858162,0.961288,0.7349529,5.5626783,0.5045707,5.7156882,0.3742269,2.0413761,0.0502588,-0.5959415,0.5851799,0.5959415,-0.0322441,0.7597172,-0.0003256,0.2704147,-0.3463442,25.9899826,33.2504692,1.6632619,0.9254783,0.3580026,0.368462624,1,20.62132822,3.600893997,0.237205686,0.002104099,0.04587046,0.902443361
"35178","RoyJ","Santee_Gold",150,"1",17.85218904,89,30.4754963,-0.8332692,0.9481368,0.9621137,0.8332692,10.1011219,0.6149805,3.5480542,0.4304984,3.2128463,0.0388926,-0.4128768,0.4496131,0.4128768,0.094614,0.5453824,-0.0001477,0.3438039,-0.2224065,26.8019314,38.8782463,4.6151714,0.9270317,0.4943307,0.245470891,1,47.43023256,5.418604651,0.167969408,0.003025284,0.055002581,0.764461951
"35754","XP753","Hybrid_XP753",130,"1",13.88789492,79,30.1932411,-0.504526,0.4265188,0.6982435,0.504526,2.7795739,0.2731658,2.6490557,0.1772352,0.9216644,0.0720849,-0.1680866,0.2051448,0.1680866,0.0805712,0.2586045,-9.54e-05,0.6058431,-0.1292101,6.1922898,14.1223335,2.4264195,0.5849177,0.1348959,0.201616829,0.639705882,14.53560372,2.708978328,0.356756857,0.005132801,0.071643569,0.982424591
"33807","IAC600","Tiara",150,"3",5.824545534,68,28.0089436,-0.7301922,0.2100037,0.9351227,0.7301922,5.4266458,0.4890838,0.8851708,0.0858293,1.918079,0.0101493,-0.4126559,0.431559,0.4126559,0.0470517,0.5631117,-9.4e-06,0.3784065,-0.2654822,15.4773865,5.8672094,2.6750021,0.8781791,0.0644788,0.199126223,1,66.17571059,6.542635659,0.135851386,0.002410379,0.049095607,0.72031561
"33767","Scarlett","Tiara",75,"1",11.17303269,79,31.1025639,-0.7312099,0.8968146,0.9065031,0.7312099,5.4684272,0.4236576,5.3464861,0.4172634,1.4740688,0.0771951,-0.2507631,0.3297076,0.2507631,0.1884976,0.3368981,-0.0003687,0.4087372,-0.1529063,10.8772726,39.5073547,3.8881159,0.8292204,0.4131426,0.303483112,1,75.47840532,6.96013289,0.124309366,0.002571716,0.050712085,0.713395863
"33769","IAC600","Tiara",75,"2",5.514820808,66,35.4634209,-0.746538,0.6337562,0.9529145,0.746538,5.9064994,0.4799128,3.2770762,0.2699332,1.8488145,0.032533,-0.510747,0.5086765,0.510747,-0.0056345,0.6786086,-0.0001161,0.3275017,-0.279117,21.3897591,21.5876274,2.2363422,0.9100915,0.2292961,0.186171452,1,49.38953488,5.540697674,0.159117623,0.003088663,0.055575739,0.718883928
"35149","Carolina Gold","Santee_Gold",75,"1",5.993747004,88,30.8328037,-0.7123884,0.8025867,0.9284725,0.7123884,4.9803467,0.4086349,5.9110613,0.3672331,1.3849021,0.0605731,-0.4047,0.4794437,0.4047,0.2043141,0.5037051,-0.0003834,0.2796502,-0.2299391,14.2190056,32.9387283,2.5362768,0.8666313,0.3202781,0.278526712,1,29.74127907,4.340116279,0.201953789,0.002894301,0.053798708,0.869880975
"35756","XP753","Hybrid_XP753",130,"1",15.17408992,79,34.6904182,-0.8810529,0.7587059,0.9765285,0.8810529,14.9629736,0.7112441,1.5166861,0.3287544,4.9548202,0.0183737,-0.4596421,0.4189088,0.4596421,-0.095777,0.6839908,-2.89e-05,0.4490424,-0.2354649,43.260746,26.3339462,5.9108744,0.9541522,0.3640062,0.149393602,1,29.31986532,4.32996633,0.187181981,0.003053827,0.05526144,0.781923837
"35160","Santee Gold","Santee_Gold",75,"2",10.64535353,90,31.5912952,-0.4498404,0.3486133,0.7172149,0.4498404,1.7024709,0.2020546,3.3965902,0.1468624,0.5184862,0.0719623,-0.1614519,0.2261253,0.1614519,0.1441139,0.2347055,-0.0001745,0.5404984,-0.1539142,3.8310277,11.6562538,1.9267102,0.5652764,0.0834216,0.29641766,0.702020202,50.95454545,6.0625,0.116503507,0.00306689,0.055379513,0.770552013
